date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:34:01	196213/196213	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2003%20Jul%202019%2000:08:40%20GMT	https://scatter.gg/unpkg.com/%40statuspage/status-widget%401.0.4/dist/index.js	C:/Users/aidan/Documents/IMPORTANT%20FILES/Downloaded%20Websites/scatter%20website/scatter.gg/unpkg.com/@statuspage/status-widget@1.0.4/dist/index.js	(from https://scatter.gg/)
21:34:01	3722/3722	---M-Z	200	added ('OK')	text/javascript	date:Sat,%2026%20Oct%201985%2013:15:00%20GMT	https://scatter.gg/unpkg.com/splitting%401.0.6/dist/splitting.min.js	C:/Users/aidan/Documents/IMPORTANT%20FILES/Downloaded%20Websites/scatter%20website/scatter.gg/unpkg.com/splitting@1.0.6/dist/splitting.min.js	(from https://scatter.gg/)
21:34:01	5593/5593	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2025%20Oct%202023%2021:38:46%20GMT	https://scatter.gg/cdn.sellix.io/static/js/embed.js	C:/Users/aidan/Documents/IMPORTANT%20FILES/Downloaded%20Websites/scatter%20website/scatter.gg/cdn.sellix.io/static/js/embed.js	(from https://scatter.gg/)
21:34:01	50149/50149	---M-Z	200	added ('OK')	text/javascript	date:Sat,%2007%20Oct%202023%2001:36:20%20GMT	https://scatter.gg/dist/js/dat.gui.min.js	C:/Users/aidan/Documents/IMPORTANT%20FILES/Downloaded%20Websites/scatter%20website/scatter.gg/dist/js/dat.gui.min.js	(from https://scatter.gg/)
21:34:02	441/441	---M-Z	200	added ('OK')	text/javascript	date:Sat,%2007%20Oct%202023%2001:36:20%20GMT	https://scatter.gg/dist/js/shopify.js	C:/Users/aidan/Documents/IMPORTANT%20FILES/Downloaded%20Websites/scatter%20website/scatter.gg/dist/js/shopify.js	(from https://scatter.gg/)
21:34:02	44444/44444	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2015%20Nov%202023%2007:03:40%20GMT	https://scatter.gg/dist/js/scripte42d.js?version=1	C:/Users/aidan/Documents/IMPORTANT%20FILES/Downloaded%20Websites/scatter%20website/scatter.gg/dist/js/scripte42de42d.js	(from https://scatter.gg/)
21:34:02	9301/9301	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2015%20Nov%202023%2000:38:46%20GMT	https://scatter.gg/dist/js/stylee42d.js?version=1	C:/Users/aidan/Documents/IMPORTANT%20FILES/Downloaded%20Websites/scatter%20website/scatter.gg/dist/js/stylee42de42d.js	(from https://scatter.gg/)
21:34:02	12332/12332	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2008%20Nov%202023%2022:16:02%20GMT	https://scatter.gg/cdn-cgi/scripts/7d0fa10a/cloudflare-static/rocket-loader.min.js	C:/Users/aidan/Documents/IMPORTANT%20FILES/Downloaded%20Websites/scatter%20website/scatter.gg/cdn-cgi/scripts/7d0fa10a/cloudflare-static/rocket-loader.min.js	(from https://scatter.gg/)
21:34:03	800/800	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Tue,%2019%20Mar%202024%2021:34:01%20GMT	https://scatter.gg/media.discordapp.net/attachments/928803441181069343/932260464161853480/scatter-Discord-1.png	C:/Users/aidan/Documents/IMPORTANT%20FILES/Downloaded%20Websites/scatter%20website/scatter.gg/media.discordapp.net/attachments/928803441181069343/932260464161853480/scatter-Discord-1.html	(from https://scatter.gg/)
21:34:03	39200/39200	---M-Z	200	added ('OK')	text/css	date:Wed,%2015%20Nov%202023%2007:10:46%20GMT	https://scatter.gg/dist/css/style.css	C:/Users/aidan/Documents/IMPORTANT%20FILES/Downloaded%20Websites/scatter%20website/scatter.gg/dist/css/style.css	(from https://scatter.gg/contact-us.html)
21:34:03	800/800	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Tue,%2019%20Mar%202024%2021:34:02%20GMT	https://scatter.gg/discord.html	C:/Users/aidan/Documents/IMPORTANT%20FILES/Downloaded%20Websites/scatter%20website/scatter.gg/discord.html	(from https://scatter.gg/contact-us.html)
21:34:03	1239/1239	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2008%20Nov%202023%2022:16:02%20GMT	https://scatter.gg/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/Users/aidan/Documents/IMPORTANT%20FILES/Downloaded%20Websites/scatter%20website/scatter.gg/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://scatter.gg/contact-us.html)
21:34:04	800/800	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Tue,%2019%20Mar%202024%2021:34:02%20GMT	https://scatter.gg/discord.html	C:/Users/aidan/Documents/IMPORTANT%20FILES/Downloaded%20Websites/scatter%20website/scatter.gg/discord.html	(from https://scatter.gg/contact-us.html)
21:34:04	800/800	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Tue,%2019%20Mar%202024%2021:34:02%20GMT	https://scatter.gg/media.discordapp.net/attachments/928803441181069343/932260464161853480/scatter-Discord-1.png	C:/Users/aidan/Documents/IMPORTANT%20FILES/Downloaded%20Websites/scatter%20website/scatter.gg/media.discordapp.net/attachments/928803441181069343/932260464161853480/scatter-Discord-1.html	(from https://scatter.gg/)
21:34:04	800/800	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Tue,%2019%20Mar%202024%2021:34:02%20GMT	https://scatter.gg/discord.html	C:/Users/aidan/Documents/IMPORTANT%20FILES/Downloaded%20Websites/scatter%20website/scatter.gg/discord.html	(from https://scatter.gg/contact-us.html)
